PLACE,NAME,YEAR,SCHOOL,PRELIM_TIME,FINAL_TIME,POINTS,REACTION,SPLITS_50,SECTION,EVENT_NUM,EVENT_NAME,EVENT_GENDER,EVENT_DISTANCE,EVENT_COURSE,EVENT_STROKE,IS_RELAY,MEET_YEAR
1,"Jaouadi, Ahmed",FR,Florida,14:25.14,14:10.03N,20.0,0.7,23.02|24.82|25.20|25.43|25.62|25.52|25.72|26.02|25.81|25.97|25.91|25.78|26.21|26.05|26.21|25.68|26.21|25.72|25.98|26.57|26.26|26.12|26.12|26.19|26.28|26.26|26.21|26.04|26.36|26.50|26.00|25.51|22.73,finals,1,Men 1650 Yard Freestyle,Men,1650,Yard,Freestyle,False,2026
2,"Sarkany, Zalan",SR,Indiana,14:23.85,14:12.20,17.0,0.68,22.68|24.78|25.27|25.48|25.65|25.80|25.54|25.92|25.84|25.90|25.94|25.86|25.96|26.01|26.06|26.01|26.00|26.10|26.04|26.26|26.25|26.17|26.04|26.21|26.34|26.28|26.37|26.29|26.24|26.23|26.04|25.71|24.93,finals,1,Men 1650 Yard Freestyle,Men,1650,Yard,Freestyle,False,2026
3,"Sandidge, Levi",SR,Kentucky,14:30.04,14:22.26,16.0,0.69,23.72|25.38|25.80|25.79|26.06|25.97|26.10|26.07|26.31|26.44|26.80|26.31|26.25|26.36|26.53|26.23|26.32|26.31|26.44|26.44|26.19|26.18|26.33|26.31|26.35|26.42|26.41|26.55|26.33|26.53|26.63|25.57|24.83,finals,1,Men 1650 Yard Freestyle,Men,1650,Yard,Freestyle,False,2026
16,"Millard, Noah",SR,Yale,14:41.76,14:47.47,1.0,0.74,24.18|26.30|26.84|27.11|27.26|27.16|27.27|27.21|27.22|27.21|26.85|27.17|26.99|27.28|26.91|26.94|27.11|27.19|26.59|27.15|26.79|27.14|27.23|26.89|26.85|26.97|27.02|27.05|27.02|27.00|26.70|27.03|25.84,finals,1,Men 1650 Yard Freestyle,Men,1650,Yard,Freestyle,False,2026
1,"Liendo, Josh",SR,Florida,42.54,42.49N,20.0,0.65,9.02|10.82|11.21|11.44,finals,4,Men 100 Yard Butterfly,Men,100,Yard,Butterfly,False,2026
2,"Kos, Hubert",SR,Texas,42.97,42.54,17.0,0.59,8.86|10.70|11.17|11.81,finals,4,Men 100 Yard Butterfly,Men,100,Yard,Butterfly,False,2026
3,"Kharun, Ilya",JR,ASU,43.54,42.92,16.0,0.65,9.11|11.08|11.30|11.43,finals,4,Men 100 Yard Butterfly,Men,100,Yard,Butterfly,False,2026
1,"Maurer, Rex",JR,Texas,3:36.46,3:32.96A,20.0,0.7,22.52|25.70|26.91|26.35|30.62|31.14|25.24|24.48,finals,5,Men 400 Yard IM,Men,400,Yard,IM,False,2026
2,"Nelson, Baylor",SR,Texas,3:36.88,3:35.28,17.0,0.6,23.08|26.13|27.80|26.99|29.72|30.76|25.67|25.13,finals,5,Men 400 Yard IM,Men,400,Yard,IM,False,2026
3,"Jankovics, Tristan",SR,OSU,3:37.59,3:35.40,16.0,0.68,23.35|26.56|27.27|26.89|30.21|30.96|25.76|24.40,finals,5,Men 400 Yard IM,Men,400,Yard,IM,False,2026
